,OMIMID,OMOPID
0,231200,4121133
1,231200,35125720
2,231200,437241
3,231200,4121133
4,155100,440508
5,155100,37016797
6,155100,312358
7,155100,4030517
8,155100,4121264
9,155100,437242
10,155100,441264
11,273800,4139942
12,273800,4139942
13,273800,35125719
14,273800,4139942
15,273800,437241
16,607554,4108832
17,171300,4118993
18,171300,4163908
19,171300,4118993
20,171300,35506734
21,171300,4311087
22,171300,4118993
23,171300,444463
24,171300,4130676
25,171300,192273
26,171300,4155167
27,137580,379782
28,137580,35330407
29,137580,379782
30,137580,379782
31,137580,379782
32,137580,379782
33,137580,379782
34,137580,379782
35,137580,379782
36,137580,379782
37,601042,37395940
38,601042,375800
39,161900,4125967
40,161900,319826
41,161900,45766198
42,161900,193253
43,161900,4125967
44,143465,4049391
45,143465,438409
46,143465,438409
47,143465,4253962
48,143465,440086
49,143465,438409
50,143465,438409
51,143465,36978839
52,143465,438409
53,143465,438409
54,143465,438409
55,144110,4299805
56,144110,4299805
57,144110,4299805
58,261515,4029126
59,261515,435233
60,261515,442575
61,261515,4079883
62,276300,788469
63,276300,4266973
64,276300,4180790
65,276300,4266973
66,188030,318397
67,188030,35104689
68,188030,4137430
69,188030,4137430
70,188030,4137430
71,188030,4137430
72,148000,258981
73,148000,434584
74,148000,4118225
75,148000,434584
76,148000,36603431
77,148000,42530777
78,148000,140064
79,148000,140958
80,148000,375479
81,148000,434584
82,148000,434584
83,148000,312846
84,148000,4033358
85,148000,35104242
86,273300,45887447
87,273300,37017324
88,273300,37017324
89,273300,433716
90,273300,40482780
91,273300,36617741
92,273300,4177115
93,273300,36617724
94,273300,4181351
95,273300,36617722
96,273300,4129900
97,273300,36603395
98,273300,433716
99,273300,43054080
100,273300,4244815
101,273300,4092524
102,273300,4177115
103,273300,4092524
104,273300,37017324
105,273300,4114339
106,273300,36671423
107,273300,4300688
108,273300,79768
109,273300,4129900
110,236000,4263909
111,236000,4038835
112,236000,4031667
113,236000,4251036
114,236000,4038839
115,236000,35104405
116,236000,4038840
117,236000,4038839
118,236000,4041797
119,236000,4322613
120,236000,4038835
121,236000,4038835
122,236000,4041797
123,236000,4038839
124,236000,4038835
125,236000,4041797
126,236000,4038840
127,236000,4038835
128,236000,4038835
129,236000,4038839
130,236000,4038835
131,236000,4041797
132,236000,4038839
133,236000,4038835
134,236000,4041798
135,236000,4322613
136,236000,4038841
137,236000,4038840
138,236000,4038835
139,236000,4038839
140,236000,4038835
141,236000,4038835
142,236000,4038842
143,236000,4038843
144,236000,4038840
145,236000,4038835
146,236000,4038839
147,254400,4040380
148,254400,35104618
149,254400,4040380
150,254400,4040380
151,254400,4040380
152,254400,4040380
153,114480,4112853
154,114480,4112853
155,114480,36617162
156,114480,45884515
157,114480,4116071
158,114480,81251
159,114480,81250
160,114480,4110861
161,114480,4188544
162,114480,4155292
163,114480,4160780
164,114480,36617185
165,114480,81251
166,114480,4112853
167,114480,4187848
168,114480,4110861
169,114480,4092511
170,114480,4112853
171,114480,4187849
172,114480,4112853
173,114480,72576
174,114480,36670902
175,114480,4116071
176,114480,4112853
177,114480,81251
178,114480,133711
179,114480,4092513
180,114480,81251
181,607681,4274575
182,190300,43531003
183,190300,443782
184,190300,43531003
185,190300,43531003
186,190300,36775462
187,190300,43531003
188,600131,4274575
189,607631,4046210
190,607631,4274575
191,604827,4274575
192,604827,374924
193,604827,4267274
194,604827,42890508
195,604827,4267274
196,607682,4274575
197,607682,4267274
198,607682,374924
199,607682,4267274
200,607682,42890508
201,300491,440508
202,607628,4267274
203,607628,374924
204,607628,4267274
205,607628,42890508
206,607628,4274575
207,276300,788469
208,276300,4266973
209,276300,4180790
210,276300,4266973
211,600807,317009
212,600807,36044977
213,600807,45877009
214,600807,317009
215,600807,317009
216,600807,45768910
217,600807,317009
218,600807,317009
219,600807,317009
220,151400,4082311
221,151400,138379
222,151400,4180093
223,151400,138379
224,151400,35104364
225,151400,4082311
226,151400,4082311
227,151400,4180093
228,151400,4119130
229,151400,35102408
230,151400,138379
231,151400,35124050
232,151400,4082311
233,276300,788469
234,276300,4266973
235,276300,4180790
236,276300,4266973
237,109543,4180093
238,109543,138379
239,109543,35124050
240,109543,4082311
241,109543,4082311
242,109543,4119130
243,109543,35102408
244,109543,4082311
245,109543,4082311
246,109543,138379
247,109543,138379
248,109543,35104364
249,109543,4180093
250,126200,374919
251,126200,374919
252,126200,36718111
253,126200,45879277
254,126200,4104847
255,126200,374919
256,126200,374919
257,603165,133834
258,603165,36009768
